ligne,code_propose,proba,decision
0,07.2.2.1,0.9942774642149186,Code automatique
1,01.2.1,0.9478713599451335,Code automatique
2,01.1.4.5,0.67878575416116,Code automatique
3,01.2.1,0.9981184390560812,Code automatique
4,01.1.8.6,0.5205568398163222,Code automatique
5,01.1.2.5,0.8335893047737906,Code automatique
6,01.1.1.9,0.396808838556482,Code automatique
7,06.1,0.25054252185970893,Code automatique
8,99.4,0.9067070986438537,Code automatique
9,01.1.7.9,0.35398300572174063,Code automatique
10,07.2.2.2,0.9402890068608929,Code automatique
11,01.1.1.5,0.48605930605621456,Code automatique
12,01.1.2.3,0.30501999452890466,Code automatique
13,01.1.1.3,0.15080023802235998,Code automatique
14,01.1.3.1,0.3360426944330467,Code automatique
15,01.1.4.5,0.14735993892158014,Code automatique
16,01.1.9.1,0.05288071980785729,Code automatique
17,01.1.2.2,0.44263219631389433,Code automatique
18,01.1.4.6,0.9982138474108135,Code automatique
19,01.1.1.3,0.7675286938452238,Code automatique
20,01.1.8.3,0.9710190377848403,Code automatique
21,01.1.2.2,0.5756624827606699,Code automatique
22,01.1.1.3,0.9766091699323141,Code automatique
23,05.6.1.1,0.7966355646318721,Code automatique
24,01.1.9.1,0.7370702881126173,Code automatique
25,11.1.1.2,0.8084760557522721,Code automatique
26,01.1.4.5,0.9990464964789398,Code automatique
27,01.1.4.6,0.05708616433347631,Code automatique
28,08.1.9.2,0.9485635026060715,Code automatique
29,06.1.1.1,0.04667892664492909,Code automatique
30,04.3.2,0.035390588577010815,Code automatique
31,01.1.6.5,0.9980681742801145,Code automatique
32,13.1.2,0.572118433457592,Code automatique
33,01.1.2.5,0.9990093649842368,Code automatique
34,04.5.1,0.7550351382901649,Code automatique
35,01.1.6.4,0.9333865492634411,Code automatique
36,01.1.9.1,0.3032529293166554,Code automatique
37,01.1.2.2,0.6877252016751976,Code automatique
38,08.1.4,0.3895507049609772,Code automatique
39,13.1.2,0.8813157176980373,Code automatique
40,01.1.2.2,0.3026871675699083,Code automatique
41,01.1.9.1,0.8610409594603675,Code automatique
42,01.1.9.1,0.22664449264757902,Code automatique
43,01.1.2.3,0.2836166860151447,Code automatique
44,05.6.1.1,0.6358742599294189,Code automatique
45,01.1.6.2,0.9970427774804956,Code automatique
46,01.1.8.5,0.9883595808025907,Code automatique
47,01.1.9.3,0.4255875270111111,Code automatique
48,01.1.1.3,0.7735872306817552,Code automatique
49,01.1.7.9,0.12574564617018077,Code automatique
50,01.1.2.2,0.5117060246191043,Code automatique
51,01.1.3.3,0.723243530738827,Code automatique
52,05.5.3,0.9243154900309564,Code automatique
53,01.1.4.3,0.5405603361012786,Code automatique
54,01.1.4.8,0.9956848409467811,Code automatique
55,01.1.8.5,0.5754659558599391,Code automatique
56,13.1.3.2,0.8565505289629985,Code automatique
57,05.4.0.3,0.458391763407555,Code automatique
58,01.1.4.6,0.9926681705613686,Code automatique
59,06.1.1.1,0.23080426877138702,Code automatique
60,01.1.1.3,0.7698100856885215,Code automatique
61,01.1.9.1,0.1329613126907248,Code automatique
62,01.1.1.3,0.8513213761017161,Code automatique
63,07.3.2.2,0.991840956089092,Code automatique
64,09.3.2.2,0.9354814546566393,Code automatique
65,01.1.1.5,0.9593234411691183,Code automatique
66,01.1.8.9,0.03032970172578801,Code automatique
67,01.1.8.5,0.9850333382638671,Code automatique
68,01.1.6.4,0.9997495616965278,Code automatique
69,04.3.1.1,0.48023418035719023,Code automatique
70,99.1,0.6196990934586556,Code automatique
71,01.1.1.3,0.9593556657415743,Code automatique
72,01.1.7.9,0.948515453994653,Code automatique
73,01.2.2,0.9945751794111025,Code automatique
74,01.1.6.2,0.9867806492054896,Code automatique
75,11.1.1.2,0.024985817008629632,Code automatique
76,01.1.4.6,0.9996283495753159,Code automatique
77,07.3.2.2,0.9978681163480292,Code automatique
78,11.1.1.2,0.4694397650781133,Code automatique
79,01.1.9.1,0.9720784697777874,Code automatique
80,13.1.2,0.22247855528801855,Code automatique
81,01.2.5,0.8751593800393861,Code automatique
82,01.1.3.3,0.1661849442392837,Code automatique
83,01.1.4.2,0.972463873248603,Code automatique
84,01.1.8.6,0.45594428897337896,Code automatique
85,09.7.4,0.01899844644602709,Code automatique
86,13.1.2,0.9938782129879629,Code automatique
87,01.1.8.3,0.15434534633688227,Code automatique
88,05.6.1.9,0.16977759970088724,Code automatique
89,01.1.1.3,0.9983584386621119,Code automatique
90,01.1.1.3,0.07161056372880605,Code automatique
91,05.6.1.9,0.6243471804846288,Code automatique
92,11.1.1.2,0.1742640136841283,Code automatique
93,01.1.2.2,0.8973018562711532,Code automatique
94,11.1.1.2,0.9960813074213651,Code automatique
95,03.1.3.1,0.06177407049775664,Code automatique
96,01.1.2.2,0.3175780600005244,Code automatique
97,01.2.6,0.3248683020497065,Code automatique
98,07.2.2.2,0.993860797548252,Code automatique
99,13.1.2,0.9865636683707866,Code automatique
100,01.1.7.2,0.906547329982945,Code automatique
101,01.1.1.1,0.5412425152943657,Code automatique
102,01.1.6.1,0.9958068186200779,Code automatique
103,01.1.6.3,0.46922380698116833,Code automatique
104,01.1.2.2,0.4188556802792584,Code automatique
105,01.1.1.3,0.9843165814696007,Code automatique
106,01.1.1.4,0.8723807823165418,Code automatique
107,09.5.2,0.011684228682680696,Code automatique
108,08.3.9.2,0.834267197048071,Code automatique
109,09.6.3,0.5941904841154788,Code automatique
110,09.4.6.1,0.5594846984146042,Code automatique
111,01.1.5.2,0.9980443432292126,Code automatique
112,01.2.5,0.9927901833476267,Code automatique
113,01.1.1.4,0.03945828418568131,Code automatique
114,01.1.1.3,0.9917458669635916,Code automatique
115,01.1.1.3,0.9350395985647945,Code automatique
116,07.2.1.3,0.03679575922954069,Code automatique
117,11.1.1.2,0.37271022488512157,Code automatique
118,01.1.4.5,0.01271764611036072,Code automatique
119,01.2.9,0.4501221200962286,Code automatique
120,01.1.8.5,0.2988871501444855,Code automatique
121,01.1.6.4,0.5618923355712099,Code automatique
122,01.1.6.5,0.9987845850981356,Code automatique
123,98.4,0.14116554420110258,Code automatique
124,11.1.1.1,0.05235311165223475,Code automatique
125,03.1.2,0.4451814930728686,Code automatique
126,01.2.1,0.9682568565447309,Code automatique
127,07.2.2.2,0.8742252448883173,Code automatique
128,99.4,0.11422189843006668,Code automatique
129,99.2,0.32529307870313756,Code automatique
130,11.1.1.2,0.5344395499587216,Code automatique
131,01.1.4.5,0.01271764611036072,Code automatique
132,01.1.6.5,0.9909458444736807,Code automatique
133,01.1.2.2,0.0203025315663356,Code automatique
134,03.1.2.3,0.059810895019075994,Code automatique
135,05.6.1.1,0.35762171145264865,Code automatique
136,11.2.0.1,0.0778600424231335,Code automatique
137,01.1.3.1,0.9647060321107562,Code automatique
138,09.6.2,0.03152564837600956,Code automatique
139,02.1.3,0.505771974308004,Code automatique
140,01.1.8.6,0.9689910515795375,Code automatique
141,07.2.4.1,0.6172931453410162,Code automatique
142,01.1.7.2,0.9697127577664298,Code automatique
143,07.2.3,0.9901760633379477,Code automatique
144,09.7.4,0.22020014488943768,Code automatique
145,09.7.4,0.9545617844606655,Code automatique
146,01.1.2.5,0.9913851842211076,Code automatique
147,12.1.3,0.5732653338998032,Code automatique
148,01.1.7.9,0.3336909380166838,Code automatique
149,11.1.1.1,0.05369803386037758,Code automatique
150,01.1.8.1,0.5211021371138498,Code automatique
151,01.1.8.6,0.8484121586152591,Code automatique
152,01.1.8.9,0.14646535899438773,Code automatique
153,09.6.1,0.9981122963032667,Code automatique
154,01.1.9.3,0.9994443778011224,Code automatique
155,01.2.1,0.1041213054654313,Code automatique
156,05.6.1.9,0.47657911330238173,Code automatique
157,01.1.6.3,0.9759389446450009,Code automatique
158,01.1.4.5,0.3954417442320688,Code automatique
159,01.1.1.3,0.06424570545598059,Code automatique
160,01.1.7.4,0.8043912807385531,Code automatique
161,05.6.1.9,0.9300326230374613,Code automatique
162,01.1.8.1,0.2909139177312055,Code automatique
163,13.1.3.1,0.9950221799644183,Code automatique
164,01.1.2.3,0.04422249521044838,Code automatique
165,01.1.8.3,0.5266540683693649,Code automatique
166,09.4.5,0.5806291731685507,Code automatique
167,09.2.1.1,0.9815891745542323,Code automatique
