"ligne","code_propose","proba","decision"
0,"07.2.2.1",0.729373472094574,"Code automatique"
1,"01.2.1",0.729373472094574,"Code automatique"
2,"01.1.4.5",0.626928342433624,"Code automatique"
3,"01.2.1",0.729373472094574,"Code automatique"
4,"01.1.8.6",0.626928342433624,"Code automatique"
5,"01.1.2.5",0.729373472094574,"Code automatique"
6,"01.1.1.9",0.621018644967864,"Code automatique"
7,"06.1",0.570633891651488,"Code automatique"
8,"99.4",0.729373472094574,"Code automatique"
9,"01.1.7.9",0.621018644967864,"Code automatique"
10,"07.2.2.2",0.729373472094574,"Code automatique"
11,"01.1.1.5",0.626928342433624,"Code automatique"
12,"01.1.2.5",0.570633891651488,"Code automatique"
13,"01.1.1.3",0.324432068885534,"Code automatique"
14,"01.1.3.1",0.673079021312438,"Code automatique"
15,"01.1.4.5",0.459955268245578,"Code automatique"
16,"01.1.1.9",0.523504296398258,"Code automatique"
17,"01.1.2.2",0.626928342433624,"Code automatique"
18,"01.1.4.6",0.729373472094574,"Code automatique"
19,"01.1.1.3",0.729373472094574,"Code automatique"
20,"01.1.8.3",0.729373472094574,"Code automatique"
21,"01.1.2.2",0.570633891651488,"Code automatique"
22,"01.1.1.3",0.729373472094574,"Code automatique"
23,"05.6.1.1",0.729373472094574,"Code automatique"
24,"01.1.9.1",0.729373472094574,"Code automatique"
25,"11.1.1.2",0.729373472094574,"Code automatique"
26,"01.1.4.5",0.729373472094574,"Code automatique"
27,"01.1.4.6",0.324432068885534,"Code automatique"
28,"08.1.9.2",0.729373472094574,"Code automatique"
29,"01.2.3",0.523504296398258,"Code automatique"
30,"04.4.1.1",0.523504296398258,"Code automatique"
31,"01.1.6.5",0.729373472094574,"Code automatique"
32,"13.1.2",0.626928342433624,"Code automatique"
33,"01.1.2.5",0.729373472094574,"Code automatique"
34,"04.5.1",0.729373472094574,"Code automatique"
35,"01.1.6.4",0.729373472094574,"Code automatique"
36,"01.1.9.1",0.621018644967864,"Code automatique"
37,"01.1.2.2",0.729373472094574,"Code automatique"
38,"05.5.2.1",0.673079021312438,"Code automatique"
39,"13.1.2",0.729373472094574,"Code automatique"
40,"01.1.2.2",0.621018644967864,"Code automatique"
41,"01.1.9.1",0.729373472094574,"Code automatique"
42,"01.1.7.1",0.523504296398258,"Code automatique"
43,"01.1.2.3",0.570633891651488,"Code automatique"
44,"05.6.1.1",0.626928342433624,"Code automatique"
45,"01.1.6.2",0.729373472094574,"Code automatique"
46,"01.1.8.5",0.729373472094574,"Code automatique"
47,"05.6.1.1",0.523504296398258,"Code automatique"
48,"01.1.1.3",0.723463774628814,"Code automatique"
49,"01.1.7.2",0.570633891651488,"Code automatique"
50,"01.1.2.2",0.626928342433624,"Code automatique"
51,"01.1.3.3",0.729373472094574,"Code automatique"
52,"05.5.3",0.729373472094574,"Code automatique"
53,"01.1.4.3",0.729373472094574,"Code automatique"
54,"01.1.4.8",0.729373472094574,"Code automatique"
55,"01.1.8.5",0.626928342433624,"Code automatique"
56,"13.1.3.2",0.729373472094574,"Code automatique"
57,"05.4.0.3",0.459955268245578,"Code automatique"
58,"01.1.4.6",0.729373472094574,"Code automatique"
59,"06.1.1.1",0.570633891651488,"Code automatique"
60,"01.1.1.3",0.729373472094574,"Code automatique"
61,"01.1.9.4",0.266899765803598,"Reprise manuelle / LLM"
62,"01.1.1.3",0.723463774628814,"Code automatique"
63,"07.3.2.2",0.729373472094574,"Code automatique"
64,"09.3.2.2",0.729373472094574,"Code automatique"
65,"01.1.1.5",0.729373472094574,"Code automatique"
66,"98.1.2",0.523504296398258,"Code automatique"
67,"01.1.8.5",0.729373472094574,"Code automatique"
68,"01.1.6.4",0.729373472094574,"Code automatique"
69,"04.3.1.1",0.570633891651488,"Code automatique"
70,"99.1",0.626928342433624,"Code automatique"
71,"01.1.1.3",0.729373472094574,"Code automatique"
72,"01.1.7.9",0.729373472094574,"Code automatique"
73,"01.2.2",0.729373472094574,"Code automatique"
74,"01.1.6.2",0.729373472094574,"Code automatique"
75,"01.1.9.4",0.598839376572889,"Code automatique"
76,"01.1.4.6",0.729373472094574,"Code automatique"
77,"07.3.2.2",0.729373472094574,"Code automatique"
78,"11.1.1.2",0.570633891651488,"Code automatique"
79,"01.1.9.1",0.729373472094574,"Code automatique"
80,"13.1.2",0.324432068885534,"Code automatique"
81,"01.2.5",0.729373472094574,"Code automatique"
82,"01.1.3.3",0.621018644967864,"Code automatique"
83,"01.1.4.2",0.729373472094574,"Code automatique"
84,"01.1.8.6",0.626928342433624,"Code automatique"
85,"04.3.1.1",0.523504296398258,"Code automatique"
86,"13.1.2",0.729373472094574,"Code automatique"
87,"01.1.1.3",0.523504296398258,"Code automatique"
88,"05.6.1.9",0.324432068885534,"Code automatique"
89,"01.1.1.3",0.729373472094574,"Code automatique"
90,"98.1.1",0.523504296398258,"Code automatique"
91,"09.7.4",0.598839376572889,"Code automatique"
92,"01.1.9.1",0.523504296398258,"Code automatique"
93,"01.1.2.2",0.729373472094574,"Code automatique"
94,"11.1.1.2",0.729373472094574,"Code automatique"
95,"07.2.1.3",0.266899765803598,"Reprise manuelle / LLM"
96,"01.1.2.3",0.523504296398258,"Code automatique"
97,"01.2.6",0.459955268245578,"Code automatique"
98,"07.2.2.2",0.729373472094574,"Code automatique"
99,"13.1.2",0.729373472094574,"Code automatique"
100,"01.1.7.2",0.729373472094574,"Code automatique"
101,"01.1.1.1",0.626928342433624,"Code automatique"
102,"01.1.6.1",0.729373472094574,"Code automatique"
103,"01.1.6.3",0.626928342433624,"Code automatique"
104,"01.1.2.2",0.626928342433624,"Code automatique"
105,"01.1.1.3",0.729373472094574,"Code automatique"
106,"01.1.1.4",0.729373472094574,"Code automatique"
107,"11.1.1.2",0.523504296398258,"Code automatique"
108,"08.3.9.2",0.723463774628814,"Code automatique"
109,"09.6.3",0.626928342433624,"Code automatique"
110,"07.2.4.1",0.598839376572889,"Code automatique"
111,"01.1.5.2",0.729373472094574,"Code automatique"
112,"01.2.5",0.729373472094574,"Code automatique"
113,"01.1.5.1",0.266899765803598,"Reprise manuelle / LLM"
114,"01.1.1.3",0.729373472094574,"Code automatique"
115,"01.1.1.3",0.729373472094574,"Code automatique"
116,"07.2.1.2",0.523504296398258,"Code automatique"
117,"11.1.1.2",0.621018644967864,"Code automatique"
118,"01.1.2.2",0.598839376572889,"Code automatique"
119,"01.2.9",0.626928342433624,"Code automatique"
120,"01.1.8.5",0.626928342433624,"Code automatique"
121,"01.1.6.4",0.626928342433624,"Code automatique"
122,"01.1.6.5",0.729373472094574,"Code automatique"
123,"07.2.1.1",0.523504296398258,"Code automatique"
124,"11.1.1.2",0.523504296398258,"Code automatique"
125,"03.1.2",0.570633891651488,"Code automatique"
126,"01.2.1",0.729373472094574,"Code automatique"
127,"07.2.2.2",0.729373472094574,"Code automatique"
128,"12.2.2",0.523504296398258,"Code automatique"
129,"99.2",0.324432068885534,"Code automatique"
130,"11.1.1.2",0.626928342433624,"Code automatique"
131,"01.1.2.2",0.598839376572889,"Code automatique"
132,"01.1.6.5",0.729373472094574,"Code automatique"
133,"01.2.6",0.266899765803598,"Reprise manuelle / LLM"
134,"03.1.2",0.523504296398258,"Code automatique"
135,"05.6.1.1",0.626928342433624,"Code automatique"
136,"11.1.2.9",0.523504296398258,"Code automatique"
137,"01.1.3.1",0.729373472094574,"Code automatique"
138,"06.2.1",0.523504296398258,"Code automatique"
139,"02.1.3",0.570633891651488,"Code automatique"
140,"01.1.8.6",0.729373472094574,"Code automatique"
141,"07.2.4.1",0.570633891651488,"Code automatique"
142,"01.1.7.2",0.729373472094574,"Code automatique"
143,"07.2.3",0.729373472094574,"Code automatique"
144,"09.7.4",0.400772199677103,"Code automatique"
145,"09.7.4",0.729373472094574,"Code automatique"
146,"01.1.2.5",0.729373472094574,"Code automatique"
147,"12.1.3",0.673079021312438,"Code automatique"
148,"01.1.7.2",0.673079021312438,"Code automatique"
149,"11.1.1.1",0.324432068885534,"Code automatique"
150,"01.1.8.1",0.570633891651488,"Code automatique"
151,"01.1.8.6",0.729373472094574,"Code automatique"
152,"01.1.8.9",0.324432068885534,"Code automatique"
153,"09.6.1",0.729373472094574,"Code automatique"
154,"01.1.9.3",0.729373472094574,"Code automatique"
155,"01.2.1",0.324432068885534,"Code automatique"
156,"04.3.1.1",0.523504296398258,"Code automatique"
157,"01.1.6.3",0.729373472094574,"Code automatique"
158,"01.1.4.5",0.626928342433624,"Code automatique"
159,"09.6.2",0.266899765803598,"Reprise manuelle / LLM"
160,"01.1.7.4",0.673079021312438,"Code automatique"
161,"05.6.1.9",0.729373472094574,"Code automatique"
162,"01.1.8.1",0.621018644967864,"Code automatique"
163,"13.1.3.1",0.729373472094574,"Code automatique"
